distinct_routes_count = data['Route'].nunique(),Departing Port,Arriving Port,Airline,Year,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2014,0,304,309,29,24
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2014,1,1170,1146,111,135
Adelaide-Brisbane,Adelaide,Brisbane,Tigerair,2014,0,219,220,15,14
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2014,11,1216,1217,115,114
Adelaide-Canberra,Adelaide,Canberra,Qantas,2014,0,486,487,32,31
Adelaide-Canberra,Adelaide,Canberra,QantasLink,2014,6,178,192,55,41
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2014,4,292,292,17,17
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2014,2,382,378,36,40
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2014,0,347,351,18,14
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,2014,14,1037,1013,221,245
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2014,17,2963,3029,424,358
Adelaide-Melbourne,Adelaide,Melbourne,QantasLink,2014,5,115,111,11,15
Adelaide-Melbourne,Adelaide,Melbourne,Tigerair,2014,14,684,658,157,183
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,2014,49,2791,2777,428,442
Adelaide-Perth,Adelaide,Perth,Jetstar,2014,0,343,340,66,69
Adelaide-Perth,Adelaide,Perth,Qantas,2014,2,1191,1216,144,119
Adelaide-Perth,Adelaide,Perth,Virgin Australia,2014,6,677,690,83,70
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,2014,13,1037,1025,108,120
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Regional Express,2014,5,2272,2215,108,165
Adelaide-Sydney,Adelaide,Sydney,Jetstar,2014,21,1086,1109,362,339
Adelaide-Sydney,Adelaide,Sydney,Qantas,2014,9,2644,2704,312,252
Adelaide-Sydney,Adelaide,Sydney,QantasLink,2014,9,100,114,75,61
Adelaide-Sydney,Adelaide,Sydney,Tigerair,2014,3,220,238,46,28
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,2014,5,1817,1838,177,156
Albury-Sydney,Albury,Sydney,QantasLink,2014,10,1009,968,251,292
Albury-Sydney,Albury,Sydney,Regional Express,2014,3,1098,1075,124,147
Albury-Sydney,Albury,Sydney,Virgin Australia Regional Airlines,2014,5,614,562,106,158
Alice Springs-Melbourne,Alice Springs,Melbourne,Qantas,2014,0,143,162,69,50
Alice Springs-Melbourne,Alice Springs,Melbourne,Tigerair,2014,0,73,74,36,35
Alice Springs-Sydney,Alice Springs,Sydney,Qantas,2014,0,154,184,58,28
Alice Springs-Sydney,Alice Springs,Sydney,Tigerair,2014,0,90,86,23,27
Armidale-Sydney,Armidale,Sydney,QantasLink,2014,18,609,638,172,143
Armidale-Sydney,Armidale,Sydney,Regional Express,2014,2,390,321,65,134
Ayers Rock-Sydney,Ayers Rock,Sydney,Jetstar,2014,3,244,217,38,65
Ayers Rock-Sydney,Ayers Rock,Sydney,Virgin Australia,2014,1,318,335,48,31
Ballina-Sydney,Ballina,Sydney,Jetstar,2014,7,594,610,184,168
Ballina-Sydney,Ballina,Sydney,Regional Express,2014,0,224,208,62,78
Ballina-Sydney,Ballina,Sydney,Virgin Australia,2014,7,307,311,52,48
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,2014,0,311,316,16,11
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,2014,1,1132,1160,149,121
Brisbane-Adelaide,Brisbane,Adelaide,Tigerair,2014,0,205,198,30,37
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,2014,3,1152,1138,187,201
Brisbane-Bundaberg,Brisbane,Bundaberg,QantasLink,2014,8,1245,1228,163,180
Brisbane-Bundaberg,Brisbane,Bundaberg,Virgin Australia Regional Airlines,2014,0,397,394,57,60
Brisbane-Cairns,Brisbane,Cairns,Jetstar,2014,10,1066,1066,178,178
Brisbane-Cairns,Brisbane,Cairns,Qantas,2014,3,1220,1250,184,154
Brisbane-Cairns,Brisbane,Cairns,QantasLink,2014,1,46,42,5,9
Brisbane-Cairns,Brisbane,Cairns,Tigerair,2014,1,145,146,88,87
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,2014,7,1404,1413,231,222
Brisbane-Canberra,Brisbane,Canberra,Qantas,2014,2,452,465,54,41
Brisbane-Canberra,Brisbane,Canberra,QantasLink,2014,10,1194,1204,197,187
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,2014,2,956,950,159,165
Brisbane-Darwin,Brisbane,Darwin,Jetstar,2014,3,219,219,36,36
Brisbane-Darwin,Brisbane,Darwin,Qantas,2014,2,485,470,50,65
Brisbane-Darwin,Brisbane,Darwin,Tigerair,2014,5,189,164,4,29
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,2014,1,319,307,47,59
Brisbane-Emerald,Brisbane,Emerald,QantasLink,2014,23,1666,1479,137,324
Brisbane-Emerald,Brisbane,Emerald,Virgin Australia Regional Airlines,2014,6,917,834,97,180
Brisbane-Gladstone,Brisbane,Gladstone,QantasLink,2014,72,2288,2217,210,281
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia,2014,1,18,18,6,6
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia Regional Airlines,2014,8,1502,1459,236,279
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Jetstar,2014,4,149,150,14,13
Brisbane-Hamilton Island,Brisbane,Hamilton Island,QantasLink,2014,0,17,18,3,2
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Virgin Australia,2014,6,331,328,26,29
Brisbane-Hobart,Brisbane,Hobart,Jetstar,2014,0,316,306,26,36
Brisbane-Hobart,Brisbane,Hobart,Virgin Australia,2014,0,320,289,45,76
Brisbane-Mackay,Brisbane,Mackay,Jetstar,2014,16,623,639,143,127
Brisbane-Mackay,Brisbane,Mackay,QantasLink,2014,14,1155,1168,121,108
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,2014,23,1497,1494,237,240
